"ISO","X","Y"
"DOM",-71.65,19.95
"DOM",-71.55,19.95
"DOM",-71.45,19.95
"DOM",-71.05,19.95
"DOM",-70.95,19.95
"DOM",-70.85,19.95
"DOM",-71.85,19.85
"DOM",-71.75,19.85
"DOM",-71.65,19.85
"DOM",-71.55,19.85
"DOM",-71.45,19.85
"DOM",-71.35,19.85
"DOM",-71.25,19.85
"DOM",-71.15,19.85
"DOM",-71.05,19.85
"DOM",-70.95,19.85
"DOM",-70.85,19.85
"DOM",-70.75,19.85
"DOM",-70.65,19.85
"DOM",-71.75,19.75
"DOM",-71.65,19.75
"DOM",-71.55,19.75
"DOM",-71.45,19.75
"DOM",-71.35,19.75
"DOM",-71.25,19.75
"DOM",-71.15,19.75
"DOM",-71.05,19.75
"DOM",-70.95,19.75
"DOM",-70.85,19.75
"DOM",-70.75,19.75
"DOM",-70.65,19.75
"DOM",-70.55,19.75
"DOM",-70.45,19.75
"DOM",-70.35,19.75
"DOM",-71.75,19.65
"DOM",-71.65,19.65
"DOM",-71.55,19.65
"DOM",-71.45,19.65
"DOM",-71.35,19.65
"DOM",-71.25,19.65
"DOM",-71.15,19.65
"DOM",-71.05,19.65
"DOM",-70.95,19.65
"DOM",-70.85,19.65
"DOM",-70.75,19.65
"DOM",-70.65,19.65
"DOM",-70.55,19.65
"DOM",-70.45,19.65
"DOM",-70.35,19.65
"DOM",-70.25,19.65
"DOM",-70.15,19.65
"DOM",-70.05,19.65
"DOM",-69.95,19.65
"DOM",-69.85,19.65
"DOM",-71.75,19.55
"DOM",-71.65,19.55
"DOM",-71.55,19.55
"DOM",-71.45,19.55
"DOM",-71.35,19.55
"DOM",-71.25,19.55
"DOM",-71.15,19.55
"DOM",-71.05,19.55
"DOM",-70.95,19.55
"DOM",-70.85,19.55
"DOM",-70.75,19.55
"DOM",-70.65,19.55
"DOM",-70.55,19.55
"DOM",-70.45,19.55
"DOM",-70.35,19.55
"DOM",-70.25,19.55
"DOM",-70.15,19.55
"DOM",-70.05,19.55
"DOM",-69.95,19.55
"DOM",-69.85,19.55
"DOM",-71.65,19.45
"DOM",-71.55,19.45
"DOM",-71.45,19.45
"DOM",-71.35,19.45
"DOM",-71.25,19.45
"DOM",-71.15,19.45
"DOM",-71.05,19.45
"DOM",-70.95,19.45
"DOM",-70.85,19.45
"DOM",-70.75,19.45
"DOM",-70.65,19.45
"DOM",-70.55,19.45
"DOM",-70.45,19.45
"DOM",-70.35,19.45
"DOM",-70.25,19.45
"DOM",-70.15,19.45
"DOM",-70.05,19.45
"DOM",-69.95,19.45
"DOM",-69.85,19.45
"DOM",-71.75,19.35
"DOM",-71.65,19.35
"DOM",-71.55,19.35
"DOM",-71.45,19.35
"DOM",-71.35,19.35
"DOM",-71.25,19.35
"DOM",-71.15,19.35
"DOM",-71.05,19.35
"DOM",-70.95,19.35
"DOM",-70.85,19.35
"DOM",-70.75,19.35
"DOM",-70.65,19.35
"DOM",-70.55,19.35
"DOM",-70.45,19.35
"DOM",-70.35,19.35
"DOM",-70.25,19.35
"DOM",-70.15,19.35
"DOM",-70.05,19.35
"DOM",-69.95,19.35
"DOM",-69.85,19.35
"DOM",-69.75,19.35
"DOM",-69.55,19.35
"DOM",-69.45,19.35
"DOM",-69.35,19.35
"DOM",-69.25,19.35
"DOM",-69.15,19.35
"DOM",-71.75,19.25
"DOM",-71.65,19.25
"DOM",-71.55,19.25
"DOM",-71.45,19.25
"DOM",-71.35,19.25
"DOM",-71.25,19.25
"DOM",-71.15,19.25
"DOM",-71.05,19.25
"DOM",-70.95,19.25
"DOM",-70.85,19.25
"DOM",-70.75,19.25
"DOM",-70.65,19.25
"DOM",-70.55,19.25
"DOM",-70.45,19.25
"DOM",-70.35,19.25
"DOM",-70.25,19.25
"DOM",-70.15,19.25
"DOM",-70.05,19.25
"DOM",-69.95,19.25
"DOM",-69.85,19.25
"DOM",-69.75,19.25
"DOM",-69.65,19.25
"DOM",-69.55,19.25
"DOM",-69.45,19.25
"DOM",-69.35,19.25
"DOM",-69.25,19.25
"DOM",-69.15,19.25
"DOM",-71.75,19.15
"DOM",-71.65,19.15
"DOM",-71.55,19.15
"DOM",-71.45,19.15
"DOM",-71.35,19.15
"DOM",-71.25,19.15
"DOM",-71.15,19.15
"DOM",-71.05,19.15
"DOM",-70.95,19.15
"DOM",-70.85,19.15
"DOM",-70.75,19.15
"DOM",-70.65,19.15
"DOM",-70.55,19.15
"DOM",-70.45,19.15
"DOM",-70.35,19.15
"DOM",-70.25,19.15
"DOM",-70.15,19.15
"DOM",-70.05,19.15
"DOM",-69.95,19.15
"DOM",-69.85,19.15
"DOM",-69.75,19.15
"DOM",-69.65,19.15
"DOM",-69.45,19.15
"DOM",-69.35,19.15
"DOM",-69.25,19.15
"DOM",-71.85,19.05
"DOM",-71.75,19.05
"DOM",-71.65,19.05
"DOM",-71.55,19.05
"DOM",-71.45,19.05
"DOM",-71.35,19.05
"DOM",-71.25,19.05
"DOM",-71.15,19.05
"DOM",-71.05,19.05
"DOM",-70.95,19.05
"DOM",-70.85,19.05
"DOM",-70.75,19.05
"DOM",-70.65,19.05
"DOM",-70.55,19.05
"DOM",-70.45,19.05
"DOM",-70.35,19.05
"DOM",-70.25,19.05
"DOM",-70.15,19.05
"DOM",-70.05,19.05
"DOM",-69.95,19.05
"DOM",-69.85,19.05
"DOM",-69.75,19.05
"DOM",-69.65,19.05
"DOM",-69.55,19.05
"DOM",-69.45,19.05
"DOM",-69.35,19.05
"DOM",-69.25,19.05
"DOM",-69.15,19.05
"DOM",-69.05,19.05
"DOM",-68.95,19.05
"DOM",-68.85,19.05
"DOM",-71.85,18.95
"DOM",-71.75,18.95
"DOM",-71.65,18.95
"DOM",-71.55,18.95
"DOM",-71.45,18.95
"DOM",-71.35,18.95
"DOM",-71.25,18.95
"DOM",-71.15,18.95
"DOM",-71.05,18.95
"DOM",-70.95,18.95
"DOM",-70.85,18.95
"DOM",-70.75,18.95
"DOM",-70.65,18.95
"DOM",-70.55,18.95
"DOM",-70.45,18.95
"DOM",-70.35,18.95
"DOM",-70.25,18.95
"DOM",-70.15,18.95
"DOM",-70.05,18.95
