"ISO","X","Y"
"DOM","-71.5","20"
"DOM","-71","20"
"DOM","-70.75","20"
"DOM","-71.75","19.75"
"DOM","-71.5","19.75"
"DOM","-71.25","19.75"
"DOM","-71","19.75"
"DOM","-70.75","19.75"
"DOM","-70.5","19.75"
"DOM","-70.25","19.75"
"DOM","-70","19.75"
"DOM","-71.75","19.5"
"DOM","-71.5","19.5"
"DOM","-71.25","19.5"
"DOM","-71","19.5"
"DOM","-70.75","19.5"
"DOM","-70.5","19.5"
"DOM","-70.25","19.5"
"DOM","-70","19.5"
"DOM","-69.75","19.5"
"DOM","-71.75","19.25"
"DOM","-71.5","19.25"
"DOM","-71.25","19.25"
"DOM","-71","19.25"
"DOM","-70.75","19.25"
"DOM","-70.5","19.25"
"DOM","-70.25","19.25"
"DOM","-70","19.25"
"DOM","-69.75","19.25"
"DOM","-69.5","19.25"
"DOM","-69.25","19.25"
"DOM","-71.75","19"
"DOM","-71.5","19"
"DOM","-71.25","19"
"DOM","-71","19"
"DOM","-70.75","19"
"DOM","-70.5","19"
"DOM","-70.25","19"
"DOM","-70","19"
"DOM","-69.75","19"
"DOM","-69.5","19"
"DOM","-69.25","19"
"DOM","-69","19"
"DOM","-68.75","19"
"DOM","-72","18.75"
"DOM","-71.75","18.75"
"DOM","-71.5","18.75"
"DOM","-71.25","18.75"
"DOM","-71","18.75"
"DOM","-70.75","18.75"
"DOM","-70.5","18.75"
"DOM","-70.25","18.75"
"DOM","-70","18.75"
"DOM","-69.75","18.75"
"DOM","-69.5","18.75"
"DOM","-69.25","18.75"
"DOM","-69","18.75"
"DOM","-68.75","18.75"
"DOM","-68.5","18.75"
"DOM","-68.25","18.75"
"DOM","-72","18.5"
"DOM","-71.75","18.5"
"DOM","-71.5","18.5"
"DOM","-71.25","18.5"
"DOM","-71","18.5"
"DOM","-70.75","18.5"
"DOM","-70.5","18.5"
"DOM","-70.25","18.5"
"DOM","-70","18.5"
"DOM","-69.75","18.5"
"DOM","-69.5","18.5"
"DOM","-69.25","18.5"
"DOM","-69","18.5"
"DOM","-68.75","18.5"
"DOM","-68.5","18.5"
"DOM","-68.25","18.5"
"DOM","-71.75","18.25"
"DOM","-71.5","18.25"
"DOM","-71.25","18.25"
"DOM","-71","18.25"
"DOM","-70.75","18.25"
"DOM","-70.5","18.25"
"DOM","-70.25","18.25"
"DOM","-70","18.25"
"DOM","-69","18.25"
"DOM","-68.75","18.25"
"DOM","-68.5","18.25"
"DOM","-71.75","18"
"DOM","-71.5","18"
"DOM","-71.25","18"
"DOM","-71","18"
"DOM","-71.75","17.75"
"DOM","-71.5","17.75"
"DOM","-71.25","17.75"
"DOM","-71.5","17.5"
