date	milk
1968-01-01	1268.6
1968-02-01	1293.72
1968-03-01	1513.16
1968-04-01	1719.54
1968-05-01	2062.83
1968-06-01	1954.98
1968-07-01	1872.97
1968-08-01	1767.03
1968-09-01	1609.58
1968-10-01	1554.36
1968-11-01	1348.6
1968-12-01	1280.48
1969-01-01	1282.4
1969-02-01	1238.37
1969-03-01	1524.06
1969-04-01	1702.71
1969-05-01	2068.74
1969-06-01	1959.13
1969-07-01	1852.51
1969-08-01	1676.03
1969-09-01	1525.45
1969-10-01	1478.89
1969-11-01	1255.07
1969-12-01	1190.91
1970-01-01	1253.04
1970-02-01	1233.33
1970-03-01	1493.56
1970-04-01	1633.29
1970-05-01	2011.79
1970-06-01	1910.51
1970-07-01	1826.77
1970-08-01	1654.21
1970-09-01	1534.03
1970-10-01	1463.05
1970-11-01	1276.6
1970-12-01	1235.57
1971-01-01	1253.74
1971-02-01	1252.63
1971-03-01	1516.51
1971-04-01	1745.27
1971-05-01	2097.98
1971-06-01	1960.09
1971-07-01	1853.16
1971-08-01	1716.72
1971-09-01	1578.77
1971-10-01	1506.29
1971-11-01	1308.9
1971-12-01	1288.25
1972-01-01	1340.53
1972-02-01	1371.64
1972-03-01	1682.55
1972-04-01	1919.73
1972-05-01	2195.86
1972-06-01	2142.1
1972-07-01	2049.08
1972-08-01	1877.59
1972-09-01	1684.21
1972-10-01	1597.02
1972-11-01	1380.82
1972-12-01	1395.7
1973-01-01	1451.6
1973-02-01	1442.9
1973-03-01	1786.7
1973-04-01	1946.1
1973-05-01	2325.6
1973-06-01	2197.7
1973-07-01	2018.8
1973-08-01	1895
1973-09-01	1618.2
1973-10-01	1565.5
1973-11-01	1429
1973-12-01	1417.4
1974-01-01	1485.2
1974-02-01	1464
1974-03-01	1803.65
1974-04-01	2094.82
1974-05-01	2358.06
1974-06-01	2177.9
1974-07-01	2037.15
1974-08-01	1817.85
1974-09-01	1611.51
1974-10-01	1538.67
1974-11-01	1350.8
1974-12-01	1397.87
1975-01-01	1487.2
1975-02-01	1486.5
1975-03-01	1831.8
1975-04-01	1951
1975-05-01	2352.5
1975-06-01	2199.6
1975-07-01	2090.7
1975-08-01	1787.1
1975-09-01	1630.6
1975-10-01	1618.1
1975-11-01	1457.7
1975-12-01	1481.7
1976-01-01	1564.9
1976-02-01	1575.4
1976-03-01	1957
1976-04-01	2169.5
1976-05-01	2475.5
1976-06-01	2153.8
1976-07-01	1834.3
1976-08-01	1674.2
1976-09-01	1486.5
1976-10-01	1599.7
1976-11-01	1510.6
1976-12-01	1501.1
1977-01-01	1575.11
1977-02-01	1583
1977-03-01	2032.5
1977-04-01	2175
1977-05-01	2426.76
1977-06-01	2227.38
1977-07-01	2033.9
1977-08-01	1874.65
1977-09-01	1667.62
1977-10-01	1603.34
1977-11-01	1450.05
1977-12-01	1482.1
1978-01-01	1618
1978-02-01	1583.01
1978-03-01	1959
1978-04-01	2108
1978-05-01	2455
1978-06-01	2297
1978-07-01	2173
1978-08-01	1979
1978-09-01	1757
1978-10-01	1686
1978-11-01	1521
1978-12-01	1572
1979-01-01	1651
1979-02-01	1647.7
1979-03-01	2028.2
1979-04-01	2163.8
1979-05-01	2535.8
1979-06-01	2422.5
1979-07-01	2280.5
1979-08-01	2016.3
1979-09-01	1806.6
1979-10-01	1791.6
1979-11-01	1631.9
1979-12-01	1717.2
1980-01-01	1776.6
1980-02-01	1830.9
1980-03-01	2138.7
1980-04-01	2352.6
1980-05-01	2693.9
1980-06-01	2490.1
1980-07-01	2334.6
1980-08-01	2114.1
1980-09-01	1906.5
1980-10-01	1851.2
1980-11-01	1659.1
1980-12-01	1771.5
1981-01-01	1842.2
1981-02-01	1806.8
1981-03-01	2194.1
1981-04-01	2435.1
1981-05-01	2652.9
1981-06-01	2465.6
1981-07-01	2386.4
1981-08-01	2108
1981-09-01	1832.6
1981-10-01	1846
1981-11-01	1708.1
1981-12-01	1780
1982-01-01	1843.3
1982-02-01	1863
1982-03-01	2252
1982-04-01	2433.2
1982-05-01	2753.2
1982-06-01	2483.8
1982-07-01	2305.6
1982-08-01	2107.4
1982-09-01	1900.5
1982-10-01	1879.1
1982-11-01	1837.4
1982-12-01	1909.6
1983-01-01	2022.6
1983-02-01	1945.7
1983-03-01	2342
1983-04-01	2480.8
1983-05-01	2731.4
1983-06-01	2536.2
1983-07-01	2297.7
1983-08-01	2033.3
1983-09-01	1842.6
1983-10-01	1970.1
1983-11-01	1897.6
1983-12-01	1950
1984-01-01	2064.8
1984-02-01	2067.1
1984-03-01	2383.6
1984-04-01	2519.8
1984-05-01	2843.3
1984-06-01	2567.1
1984-07-01	2303.3
1984-08-01	1975.6
1984-09-01	1752.6
1984-10-01	1878.4
1984-11-01	1821.9
1984-12-01	1922.8
1985-01-01	1912.5
1985-02-01	1872
1985-03-01	2261.8
1985-04-01	2373.6
1985-05-01	2696.6
1985-06-01	2465.8
1985-07-01	2294.5
1985-08-01	2067.2
1985-09-01	1846.9
1985-10-01	1884.1
1985-11-01	1811.8
1985-12-01	1971.4
1986-01-01	2082.4
1986-02-01	1960.3
1986-03-01	2315.9
1986-04-01	2410.7
1986-05-01	2734.1
1986-06-01	2546.3
1986-07-01	2319.2
1986-08-01	1989.6
1986-09-01	1841
1986-10-01	1965.7
1986-11-01	1862.6
1986-12-01	1969.7
1987-01-01	1960.7
1987-02-01	1866.1
1987-03-01	2189.3
1987-04-01	2373.6
1987-05-01	2701.6
1987-06-01	2472.7
1987-07-01	2220.9
1987-08-01	1999.9
1987-09-01	1781.4
1987-10-01	1806.9
1987-11-01	1710
1987-12-01	1823.3
1988-01-01	1889.2
1988-02-01	1861
1988-03-01	2072.6
1988-04-01	2316.9
1988-05-01	2503.7
1988-06-01	2262.1
1988-07-01	2117.1
1988-08-01	1891.7
1988-09-01	1715.6
1988-10-01	1794.8
1988-11-01	1779.8
1988-12-01	1887.4
1989-01-01	1944.2
1989-02-01	1816.4
1989-03-01	2045.1
1989-04-01	2313.1
1989-05-01	2516.4
1989-06-01	2232.3
1989-07-01	1969.5
1989-08-01	1717.9
1989-09-01	1600.6
1989-10-01	1788.8
1989-11-01	1801.3
1989-12-01	1938.9
1990-01-01	2039.1
1990-02-01	1934.9
1990-03-01	2287.3
1990-04-01	2409.9
1990-05-01	2523.5
1990-06-01	2211.8
1990-07-01	1995.1
1990-08-01	1706.3
1990-09-01	1597.5
1990-10-01	1777
1990-11-01	1776.2
1990-12-01	1887.6
1991-01-01	1973.1
1991-02-01	1810.5
1991-03-01	2117.7
1991-04-01	2304.8
1991-05-01	2417.7
1991-06-01	2185.5
1991-07-01	1936.2
1991-08-01	1698.4
1991-09-01	1568.9
1991-10-01	1727.4
1991-11-01	1746.2
1991-12-01	1893
1992-01-01	1991.7
1992-02-01	1929.9
1992-03-01	2105
1992-04-01	2247.5
1992-05-01	2352.3
1992-06-01	2040.1
1992-07-01	1823.2
1992-08-01	1632.1
1992-09-01	1607.4
1992-10-01	1746.4
1992-11-01	1709.8
1992-12-01	1860.4
1993-01-01	1921.5
1993-02-01	1820.7
1993-03-01	2133.3
1993-04-01	2208.3
1993-05-01	2281.2
1993-06-01	1968.9
1993-07-01	1824
1993-08-01	1664.1
1993-09-01	1586.3
1993-10-01	1728.7
1993-11-01	1741.5
1993-12-01	1876.4
1994-01-01	1978.8
1994-02-01	1863.2
1994-03-01	2171
1994-04-01	2172.7
1994-05-01	2289.4
1994-06-01	1988.4
1994-07-01	1798.9
1994-08-01	1656.6
1994-09-01	1634.4
1994-10-01	1844.3
1994-11-01	1837.9
1994-12-01	1988
1995-01-01	2022.44
1995-02-01	1859.44
1995-03-01	2113.95
1995-04-01	2210.04
1995-05-01	2307.72
1995-06-01	2048.58
1995-07-01	1825.38
1995-08-01	1666.58
1995-09-01	1644.23
1995-10-01	1882.08
1995-11-01	1879.05
1995-12-01	1965.08
1996-01-01	2034.75
1996-02-01	1908.83
1996-03-01	2036.64
1996-04-01	2221.77
1996-05-01	2298.65
1996-06-01	2016.76
1996-07-01	1830.03
1996-08-01	1639.53
1996-09-01	1619.2
1996-10-01	1784
1996-11-01	1806.11
1996-12-01	1912.65
1997-01-01	1957.19
1997-02-01	1825.44
1997-03-01	2077.13
1997-04-01	2244.08
1997-05-01	2288.32
1997-06-01	2006.51
1997-07-01	1820.17
1997-08-01	1627.77
1997-09-01	1627.67
1997-10-01	1764.69
1997-11-01	1758.04
1997-12-01	1924.56
1998-01-01	2017.9
1998-02-01	1866.5
1998-03-01	2121.3
1998-04-01	2162
1998-05-01	2218.2
1998-06-01	1952.8
1998-07-01	1775.5
1998-08-01	1616.7
1998-09-01	1620.9
1998-10-01	1823.3
1998-11-01	1818.8
1998-12-01	1975.4
1999-01-01	2069.75
1999-02-01	1892.79
1999-03-01	2111.26
1999-04-01	2207.44
1999-05-01	2214.61
1999-06-01	1932.38
1999-07-01	1780.36
1999-08-01	1644.47
1999-09-01	1633.6
1999-10-01	1816.86
1999-11-01	1846.88
1999-12-01	1970.48
2000-01-01	2066.53
2000-02-01	1999.67
2000-03-01	2175.3
2000-04-01	2178.46
2000-05-01	2213.14
2000-06-01	1907.74
2000-07-01	1771.99
2000-08-01	1679.09
2000-09-01	1662.54
2000-10-01	1820.11
2000-11-01	1808.93
2000-12-01	1998.63
2001-01-01	2066.5
2001-02-01	1908.67
2001-03-01	2126.34
2001-04-01	2114.29
2001-05-01	2171.78
2001-06-01	1944.3
2001-07-01	1771.11
2001-08-01	1692.95
2001-09-01	1655.82
2001-10-01	1855.7
2001-11-01	1883.09
2001-12-01	2005.69
2002-01-01	2091.22
2002-02-01	1925.78
2002-03-01	2102.72
2002-04-01	2242.69
2002-05-01	2265.28
2002-06-01	1977.02
2002-07-01	1839.15
2002-08-01	1723.37
2002-09-01	1705.26
2002-10-01	1870.54
2002-11-01	1880.97
2002-12-01	2010.18
2003-01-01	2033.47
2003-02-01	1836.33
2003-03-01	2011.37
2003-04-01	2207.21
2003-05-01	2269.67
2003-06-01	1944.11
2003-07-01	1782.18
2003-08-01	1655.46
2003-09-01	1677.83
2003-10-01	1858.18
2003-11-01	1846.7
2003-12-01	1995.18
2004-01-01	2029.86
2004-02-01	1903.92
2004-03-01	1951.84
2004-04-01	2142.73
2004-05-01	2156.08
2004-06-01	1858.64
2004-07-01	1722.13
2004-08-01	1655.68
2004-09-01	1702.91
2004-10-01	1853.54
2004-11-01	1891.99
2004-12-01	2038.74
2005-01-01	2112.72
2005-02-01	1927
2005-03-01	2082.14
2005-04-01	2193.18
2005-05-01	2182.84
2005-06-01	1916.54
2005-07-01	1787.32
2005-08-01	1714.12
2005-09-01	1691.6
2005-10-01	1857.78
2005-11-01	1874.91
2005-12-01	1984.56
2006-01-01	2041.1
2006-02-01	1848.52
2006-03-01	1973.37
2006-04-01	2106.22
2006-05-01	2152.57
2006-06-01	1901.49
2006-07-01	1752.02
2006-08-01	1684.04
2006-09-01	1695.31
2006-10-01	1869.62
2006-11-01	1878.98
2006-12-01	2005.29
2007-01-01	2059.44
2007-02-01	1880.08
2007-03-01	2072.47
2007-04-01	2117.23
2007-05-01	2072.05
2007-06-01	1819.85
2007-07-01	1755.57
2007-08-01	1691.09
2007-09-01	1678.22
2007-10-01	1858.55
2007-11-01	1898.07
2007-12-01	2079.08
2008-01-01	2201.5
2008-02-01	2131.54
2008-03-01	2266.04
2008-04-01	2168.41
2008-05-01	2200.31
2008-06-01	1914.65
2008-07-01	1817.7
2008-08-01	1720.17
2008-09-01	1710.16
2008-10-01	1847.08
2008-11-01	1836.32
2008-12-01	2001.51
2009-01-01	2067.11
2009-02-01	1885.96
2009-03-01	2081.06
2009-04-01	2142.18
2009-05-01	2113.55
2009-06-01	1902.41
2009-07-01	1799.62
2009-08-01	1704.66
2009-09-01	1602.16
2009-10-01	1793.32
2009-11-01	1798.9
2009-12-01	1953.64
2010-01-01	2009.54
2010-02-01	1861.19
2010-03-01	2075.81
2010-04-01	2098.2
2010-05-01	2157.04
2010-06-01	1945.91
2010-07-01	1824.33
2010-08-01	1773.34
2010-09-01	1776.91
2010-10-01	1926.22
2010-11-01	1907.05
2010-12-01	2019.75
2011-01-01	2152.36
2011-02-01	1979.94
2011-03-01	2234.01
2011-04-01	2216.49
2011-05-01	2188.72
2011-06-01	1966
2011-07-01	1976.97
2011-08-01	1928.33
2011-09-01	1894.34
2011-10-01	1976.97
2011-11-01	1984.62
2011-12-01	2132.24
2012-01-01	2212.01
2012-02-01	2058.59
2012-03-01	2267.87
2012-04-01	2243.17
2012-05-01	2258.6
2012-06-01	2046.06
2012-07-01	1946.26
2012-08-01	1859.45
2012-09-01	1769.61
2012-10-01	1898.68
2012-11-01	1915.53
2012-12-01	2060.12
2013-01-01	2108.94
2013-02-01	1927.8
2013-03-01	2124.86
2013-04-01	2093.3
2013-05-01	2171.24
2013-06-01	1973.22
2013-07-01	1912.53
2013-08-01	1853.11
2013-09-01	1785.19
2013-10-01	1958.31
2013-11-01	1954.95
2013-12-01	2125.49
2014-01-01	2232.74
2014-02-01	2055.54
2014-03-01	2315.85
