Year	Week	Event
2016	46	1
2009	8	0
2007	43	0
2009	48	1
2013	41	0
2018	39	0
2007	14	0
2008	11	0
2012	4	0
2014	24	1
2004	38	0
2007	47	0
2013	45	0
2018	49	0
2015	33	1
2011	33	0
2011	32	0
2005	29	0
2016	12	1
2013	34	0
2006	7	0
2004	39	0
2010	11	1
2010	15	1
2004	11	0
2004	2	0
2011	6	0
2007	24	0
2007	25	0
2004	50	0
2009	18	0
2015	41	1
2013	37	0
2008	14	0
2016	51	1
2003	47	0
2010	10	1
2011	3	0
2004	35	0
2007	8	0
2004	37	0
2013	17	0
2010	28	0
2006	5	0
2010	17	1
2007	27	0
2013	33	0
2018	1	0
2011	4	0
2014	21	1
2009	47	1
2011	17	0
2014	42	0
2016	20	1
2018	33	0
2008	8	0
2011	13	0
2005	6	0
2008	18	0
2014	1	1
2010	42	0
2015	4	0
2005	40	0
2006	42	0
2018	19	0
2006	36	0
2009	23	0
2004	21	0
2005	16	0
2006	23	0
2008	3	0
2012	49	0
2014	45	0
2018	48	0
2004	5	0
2004	3	0
2014	49	0
2017	33	0
2009	40	0
2010	40	0
2007	26	0
2011	39	0
2012	20	0
2004	44	0
2004	49	0
2017	10	0
2013	18	0
2011	12	0
2014	51	0
2018	4	0
2012	38	0
2010	12	1
2010	2	1
2009	41	0
2010	20	0
2016	13	1
2009	21	0
2008	24	0
2015	13	0
2007	28	0
2013	11	0
2004	26	0
2018	3	0
2011	2	0
2008	23	0
2012	51	0
2005	17	0
2011	34	0
2004	48	0
2007	20	0
2015	25	1
2018	17	0
2007	29	0
2011	47	0
2011	36	0
2015	31	1
2005	4	0
2003	34	0
2017	27	0
2005	30	0
2008	49	0
2012	39	0
2016	4	1
2012	23	0
2009	31	0
2013	42	0
2005	38	0
2017	4	1
2007	31	0
2004	1	0
2017	19	0
2010	23	0
2018	8	0
2009	11	0
2005	1	0
2017	23	0
2012	9	0
2013	52	1
2016	41	1
2010	43	0
2015	50	1
2011	20	0
2008	39	0
2007	15	0
2014	50	0
2008	45	0
2003	31	0
2017	8	0
2005	21	0
2009	39	0
2007	51	0
2017	28	0
2012	42	0
2003	26	0
2018	43	0
2014	38	1
2013	27	0
2016	16	1
2016	21	1
2017	51	0
2017	49	0
2013	20	0
2018	34	0
2015	37	1
2011	52	0
2009	44	0
2009	3	0
2017	40	0
2004	51	0
2006	16	0
2011	44	0
2013	29	0
2009	35	0
2015	52	1
2012	3	0
2009	2	0
2006	1	0
2015	6	0
2007	34	0
2012	43	0
2004	27	0
2013	51	1
2015	11	0
2010	48	0
2014	11	1
2010	37	0
2017	24	0
2016	28	1
2010	41	0
2004	32	0
2014	32	1
2015	44	1
2007	12	0
2009	38	0
2012	1	0
2013	40	0
2015	26	1
2010	4	1
2008	29	0
2009	12	0
2005	10	0
2009	4	0
2006	49	0
