Date	Output
2006-02-06	0
2005-07-24	0
2007-11-18	0
2010-12-03	0
2016-07-30	0
2006-07-24	0
2009-08-22	0
2016-10-10	0
2010-11-11	0
2004-09-17	1
2015-12-26	0
2014-09-26	0
2008-11-19	0
2011-10-17	0
2012-08-17	0
2014-02-01	0
2016-03-10	0
2016-05-31	0
2010-09-25	0
2008-09-01	0
2004-08-03	0
2015-01-24	0
2006-06-18	0
2003-06-21	0
2003-04-15	0
2011-07-20	0
2015-11-09	0
2014-01-01	0
2014-08-11	0
2006-08-01	0
2013-02-12	0
2010-02-18	0
2013-03-09	0
2006-04-15	0
2004-01-12	0
2012-09-08	0
2012-11-04	0
2015-06-07	0
2003-06-30	0
2017-10-27	0
2006-11-25	0
2007-01-31	0
2007-11-09	0
2017-03-20	0
2009-12-03	0
2016-02-11	0
2016-12-20	0
2017-08-21	0
2016-06-27	0
2018-03-08	0
2004-11-17	0
2016-02-25	0
2008-06-04	0
2011-02-14	0
2015-03-03	0
2003-08-22	0
2015-03-11	0
2008-03-15	0
2010-06-11	0
2003-03-25	0
2004-01-10	0
2004-06-17	0
2003-12-03	0
2006-01-29	0
2013-02-23	0
2007-10-10	0
2009-05-20	0
2010-07-14	0
2016-08-01	1
2016-05-18	0
2014-02-26	0
2009-10-04	0
2015-02-20	1
2011-01-08	0
2006-01-05	0
2003-11-24	1
2012-06-24	0
2012-04-12	0
2016-03-22	0
2010-02-16	1
2010-08-29	0
2006-03-30	0
2015-03-10	0
2003-03-24	0
2010-09-19	0
2003-06-20	0
2007-08-03	0
2005-12-13	0
2007-04-03	0
2018-04-12	0
2013-07-31	0
2007-03-04	0
2009-11-03	0
2011-05-11	0
2005-03-08	0
2012-11-11	0
2003-07-22	0
2006-01-17	0
2008-04-28	0
2004-02-18	0
2009-11-07	0
2010-02-19	0
2005-12-26	0
2004-11-15	0
2013-08-25	0
2016-06-03	0
2010-03-28	0
2012-09-12	0
2013-02-17	0
2006-07-19	0
2004-08-15	0
2015-01-19	0
2009-03-16	0
2010-07-31	0
2007-10-30	1
2008-08-28	0
2013-03-19	0
2012-05-31	0
