Date	Output
2003-01-26	0
2003-01-31	0
2003-02-05	0
2003-02-08	0
2003-02-11	0
2003-02-13	0
2003-02-23	0
2003-02-24	0
2003-02-27	0
2003-02-28	0
2003-03-01	0
2003-03-05	0
2003-03-06	0
2003-03-07	0
2003-03-11	0
2003-03-12	0
2003-03-14	0
2003-03-16	0
2003-03-17	0
2003-03-18	0
2003-04-01	0
2003-04-09	0
2003-04-10	0
2003-04-11	0
2003-04-14	0
2003-04-23	0
2003-04-30	0
2003-05-07	0
2003-05-08	0
2003-05-15	0
2003-05-19	0
2003-05-23	0
2003-05-30	0
2003-06-07	0
2003-06-13	0
2003-06-17	0
2003-06-19	0
2003-06-21	0
2003-06-24	0
2003-06-25	0
2003-07-03	0
2003-07-05	0
2003-07-14	0
2003-07-16	0
2003-07-18	0
2003-07-25	0
2003-07-27	0
2003-07-30	0
2003-08-05	0
2003-08-12	0
2003-08-22	0
2003-08-27	0
2003-08-30	0
2003-09-05	0
2003-09-10	0
2003-09-11	0
2003-09-13	0
2003-09-17	0
2003-09-24	0
2003-09-26	0
2003-09-27	0
2003-10-14	0
2003-10-27	0
2003-11-03	0
2003-11-05	0
2003-11-06	0
2003-11-07	0
2003-11-08	0
2003-11-11	0
2003-11-18	0
2003-11-20	1
2003-11-22	1
2003-11-26	0
2003-11-29	0
2003-11-30	0
2003-12-02	0
2003-12-04	0
2003-12-11	0
2003-12-12	0
2003-12-21	0
2004-01-03	0
2004-01-17	0
2004-01-18	0
2004-01-21	0
2004-01-22	0
2004-01-23	0
2004-01-24	0
2004-01-25	0
2004-02-03	0
2004-02-05	0
2004-02-06	0
2004-02-07	0
2004-02-16	0
2004-02-23	0
2004-02-27	0
2004-03-02	0
2004-03-08	0
2004-03-14	0
2004-03-16	0
2004-03-19	0
2004-03-23	0
2004-03-27	0
2004-03-28	0
2004-04-02	0
2004-04-03	0
2004-04-09	0
2004-04-12	0
2004-04-17	0
2004-04-23	0
2004-04-24	0
2004-04-29	0
2004-05-06	0
2004-05-19	0
2004-05-20	0
2004-05-23	1
2004-05-24	1
2004-05-28	0
2004-06-03	0
2004-06-09	0
2004-06-22	0
2004-06-26	0
2004-06-27	0
2004-07-03	0
2004-07-05	0
2004-07-11	0
2004-07-12	0
2004-07-16	0
2004-07-23	0
2004-07-25	0
2004-07-30	0
2004-08-01	0
2004-08-02	0
2004-08-04	0
2004-08-06	0
2004-08-16	0
2004-08-17	0
2004-08-24	0
2004-09-06	0
2004-09-12	0
2004-09-17	1
2004-09-19	0
2004-09-21	0
2004-09-24	0
2004-09-25	0
2004-09-27	0
2004-10-07	0
2004-10-12	0
2004-10-16	0
2004-10-19	0
2004-10-25	0
2004-11-01	0
2004-11-06	0
2004-11-12	0
2004-11-18	0
2004-11-25	0
2004-12-15	0
2004-12-18	0
2004-12-20	0
2004-12-28	0
2005-01-08	0
2005-01-11	0
2005-01-13	0
2005-01-20	0
2005-01-21	0
2005-01-23	0
2005-01-24	0
2005-01-25	0
2005-01-27	0
2005-01-29	0
2005-02-09	0
2005-02-12	0
2005-02-13	0
2005-02-20	0
2005-02-22	0
2005-02-23	0
2005-03-06	0
2005-03-07	0
2005-03-11	0
2005-03-14	0
2005-03-19	0
2005-04-10	0
2005-04-29	0
2005-05-02	0
2005-05-10	0
2005-05-11	0
2005-05-13	0
2005-05-14	0
2005-05-15	0
2005-05-18	0
2005-05-21	0
2005-05-22	0
2005-05-26	0
2005-05-28	0
2005-05-30	0
2005-06-01	0
2005-06-09	0
2005-06-24	0
2005-06-25	0
2005-06-27	0
2005-07-02	0
2005-07-05	0
2005-07-08	0
2005-07-10	0
2005-07-24	0
2005-07-25	0
2005-07-27	0
2005-07-29	0
2005-08-09	0
2005-08-18	0
2005-08-19	0
2005-08-20	0
2005-08-28	0
2005-09-02	0
2005-09-05	0
2005-09-10	0
2005-09-19	0
2005-09-21	0
2005-09-25	0
2005-09-28	0
2005-09-30	0
2005-10-02	0
2005-10-05	0
2005-10-06	0
2005-10-08	0
2005-10-10	0
2005-10-15	0
2005-10-18	0
2005-10-19	0
2005-10-23	1
2005-10-26	1
2005-10-28	0
2005-11-02	0
2005-11-07	0
2005-11-09	0
2005-11-10	0
2005-11-11	0
2005-11-22	0
2005-11-26	0
2005-11-29	0
2005-12-04	0
2005-12-05	0
2005-12-06	0
2005-12-10	0
2005-12-15	0
2005-12-20	0
2005-12-21	0
2006-01-15	0
2006-01-21	0
2006-01-25	0
2006-02-01	0
2006-02-06	0
2006-02-15	0
2006-02-17	0
2006-02-20	0
2006-02-22	0
2006-02-24	0
2006-03-01	0
2006-03-03	0
2006-03-08	0
2006-03-12	0
2006-03-19	0
2006-03-29	0
2006-03-30	0
2006-04-01	0
2006-04-03	0
2006-04-07	0
2006-04-08	0
2006-04-09	0
2006-04-11	0
2006-04-14	0
2006-04-18	0
2006-04-22	0
2006-05-01	0
2006-05-05	0
2006-05-15	0
2006-05-19	0
2006-05-20	0
2006-05-26	0
2006-06-01	0
2006-06-04	0
2006-06-10	0
2006-06-14	0
2006-06-21	0
2006-06-23	0
2006-07-02	0
2006-07-05	0
2006-07-06	0
2006-07-07	0
2006-07-11	0
2006-07-12	0
2006-07-18	0
2006-07-20	0
2006-07-24	0
2006-07-31	0
2006-08-03	0
2006-08-05	0
2006-08-07	0
2006-08-09	0
2006-08-14	0
2006-08-18	0
2006-09-05	0
2006-09-06	0
2006-09-08	0
2006-09-17	0
2006-09-22	0
2006-09-24	0
2006-09-26	0
2006-09-27	0
2006-10-02	0
2006-10-05	0
2006-10-07	0
2006-10-14	0
2006-10-24	0
2006-10-26	0
2006-10-29	0
2006-11-05	0
2006-11-10	0
2006-11-12	0
2006-11-16	0
2006-11-20	0
2006-11-27	0
2006-12-01	0
2006-12-03	0
2006-12-14	0
2006-12-22	0
2006-12-26	0
2007-01-14	0
2007-01-20	0
2007-01-22	0
2007-02-03	0
2007-02-07	0
2007-02-08	0
2007-02-09	0
2007-02-13	0
2007-03-01	0
2007-03-06	0
2007-03-14	0
2007-03-16	0
2007-03-18	0
2007-03-20	0
2007-03-30	1
2007-03-31	0
2007-04-03	0
2007-04-08	0
2007-04-09	0
2007-04-14	0
2007-04-15	0
2007-04-19	0
2007-04-23	0
2007-04-26	0
2007-04-30	0
2007-05-01	0
2007-05-06	0
2007-05-11	0
2007-05-12	0
2007-05-13	0
2007-05-14	0
2007-05-16	0
2007-05-18	0
2007-05-23	0
2007-05-25	0
2007-06-01	0
2007-06-05	0
2007-06-07	0
2007-06-12	0
2007-06-14	0
2007-06-16	0
2007-06-20	0
2007-06-23	0
2007-06-30	0
2007-07-02	0
2007-07-12	0
2007-07-17	0
2007-07-18	0
2007-08-05	0
2007-08-06	0
2007-08-18	1
2007-08-27	0
2007-09-01	0
2007-09-02	0
2007-09-03	0
2007-09-10	0
2007-09-11	0
2007-09-15	0
2007-09-25	0
2007-10-07	0
2007-10-10	0
2007-10-19	0
2007-10-21	0
2007-10-24	0
2007-11-01	1
2007-11-08	0
2007-11-17	0
2007-12-04	0
2007-12-09	0
2007-12-17	0
2007-12-20	0
2007-12-23	0
2007-12-25	0
2008-01-12	0
2008-01-14	0
2008-01-15	0
2008-01-24	0
2008-01-27	0
2008-02-09	0
2008-02-21	0
2008-02-23	0
2008-02-26	0
2008-02-28	0
2008-02-29	0
2008-03-01	0
2008-03-04	0
2008-03-11	0
2008-03-15	0
2008-03-19	0
2008-03-27	0
2008-03-28	0
2008-03-30	0
2008-04-07	0
2008-04-17	0
2008-04-20	0
2008-04-25	0
2008-04-26	0
2008-04-30	0
2008-05-01	0
2008-05-02	0
2008-05-08	0
2008-05-11	0
2008-05-26	0
2008-06-06	0
2008-06-14	0
2008-06-15	0
2008-06-27	0
2008-07-03	0
2008-07-04	0
2008-07-06	0
2008-07-07	0
2008-07-24	0
2008-07-30	0
2008-07-31	0
2008-08-04	0
2008-08-10	0
2008-08-18	1
2008-08-27	0
2008-09-05	0
2008-09-10	0
2008-09-18	0
2008-09-21	0
2008-09-26	0
2008-10-02	0
2008-10-05	0
2008-10-10	0
2008-10-14	0
2008-10-23	0
2008-11-05	0
2008-11-17	0
2008-12-02	0
2008-12-03	0
2008-12-04	0
2008-12-06	0
2008-12-08	0
2008-12-14	0
2008-12-15	0
2008-12-18	0
2008-12-20	0
2008-12-22	0
2008-12-25	0
2008-12-28	0
2009-01-16	0
2009-01-26	1
2009-02-07	0
2009-02-10	0
2009-02-11	0
2009-02-20	0
2009-03-08	0
2009-03-13	0
2009-03-14	0
2009-03-15	0
2009-03-16	0
2009-03-18	0
2009-03-19	0
2009-03-21	0
2009-04-04	0
2009-04-05	0
2009-04-06	0
2009-04-08	0
2009-04-17	0
2009-04-27	0
2009-05-02	0
2009-05-19	0
2009-05-20	0
2009-05-23	1
2009-05-24	1
2009-06-02	0
2009-06-18	0
2009-06-20	0
2009-06-21	0
2009-06-27	0
2009-07-01	0
2009-07-08	0
2009-07-09	0
2009-07-16	0
2009-07-19	0
2009-08-02	0
2009-08-13	0
2009-08-19	0
2009-08-25	0
2009-09-08	0
